"GRB_Name","z","log10T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","log10Fa","log10Ta","Alpha","Beta","log10PeakFluxErr","PhotonIndexErr","log10FaErr","log10TaErr","AlphaErr","BetaErr"
"160314A",0.726,0.94101424370557,-6.55284196865778,-0.0457574905606751,1.53,21.3905023625177,-12.5865,2.806841,0.607458,0.9,0.0965098848673893,0.22,0.156279,0.384008,0.053103,0.09
"160425A",0.555,2.48370138233946,-5.67778070526608,0.447158031342219,2.2,22.0551068124653,-12.4781,3.623299,0.859364,1.5,0.0310210344216608,0.18,0.257417,0.431716,0.204329,0.09
"160804A",0.736,2.15896526038341,-4.94309514866353,0.462397997898956,1.4,21.3021468665999,-12.9742,4.72111,1.018609,0.9,0.0449270153693019,0.23,0.063504,0.077461,0.087949,0.07
"161014A",2.823,1.26245108973043,-5.72124639904717,0.462397997898956,1.47,22.1865749602921,-12.6812,3.993669,1.360776,0.8,0.0898540307386038,0.15,0.140665,0.162303,0.140234,0.06
"161023A",2.71,1.64345267648619,-5.59345981956604,0.462397997898956,1.49,21.9705723346399,-11.91,4.55,1.36,0.66,0.072382413650542,0.12,0.05,0.04,0.02,0.08
"161219B",0.1475,0.841359470454855,-5.82390874094432,0.724275869600789,1.29,21.1659087660819,-12.9799,6.538578,0.890149,0.49723,0.0327769420304341,0.35,0.075567,0.110939,0.142427,0.01068
"170113A",1.968,1.3151303171836,-6.17392519729917,0.0413926851582251,0.75,21.4429483034211,-12.5021,3.874501,1.095671,0.8,0.0394813165366592,0.59,0.110016,0.186127,0.149224,0.04
"170405A",3.51,2.21669359916975,-5.431798275933,0.431363764158987,1.59,21.7385030920054,-12.7562,4.195041,1.640802,0.8,0.0334072678387117,0.12,0.259204,0.180551,0.148582,0.05
"170604A",1.329,1.42651126136458,-5.29242982390206,0.6232492903979,1.31,21.1605585621076,-12.2206,3.774653,0.647616,0.8,0.0930631032649825,0.12,0.232991,0.434719,0.061559,0.05
"170607A",0.557,1.36172783601759,-5.1249387366083,1.2718416065365,1.61,21.7724273330753,-11.9084,4.186609,0.979571,0.9,0.0168658051224564,0.07,0.023499,0.035487,0.024256,0.04
"170714A",0.793,3,-5.55284196865778,-0.397940008672038,1.76,21.0685795178507,-13.2172,4.460403,1.851865,0.9,0.217147240951626,0.17,0.263786,0.217775,0.533548,0.03
"180115A",2.487,1.61172330800734,-6.11918640771921,-0.221848749616356,1.66,21.917264401322,-11.6085,3.061361,0.97054,0.9,0.144764827301084,0.22,0.057564,0.086722,0.036237,0.06
"180205A",1.409,1.19033169817029,-6,0.531478917042255,2.04,21.4933967016953,-12.8827,5.013912,1.074976,0.9,0.0383201013444046,0.13,0.024501,0.030888,0.047995,0.09
"180325A",2.248,1.97358962342726,-5.18708664335714,0.973127853599699,1.18,22.1431959788594,-12.717,3.915432,1.426558,1.13703,0.0138604621884017,0.05,0.072161,0.045784,0.049597,0.1041
"181010A",1.39,1.2148438480477,-6.16115090926274,0.146128035678238,1.52,22.2783717111057,-13.2571,3.523935,1.570878,0.9,0.0620420688433217,0.15,0.240586,0.230566,0.289703,0.05
"181201A",0.45,1.28330122870355,-6.08039897621589,0.113943352306837,1.55,21.3161150861621,-11.6955,4.749372,1.151212,0.57781,0.0416446763468872,0.06,0.026476,0.024124,0.006098,0.02953
"191011A",1.722,0.867467487859051,-6.48148606012211,0.255272505103306,1.94,21.6503347264086,-12.8184,3.303409,0.811693,0.9,0.0482549424336946,0.17,0.089478,0.236045,0.140267,0.09
"200613A",1.2255,2.58092497567562,-5.44369749923271,0.181843587944773,1.23,22.1865749602921,-12.785,5.199503,0.923123,0.9,0.0868588963806504,0.22,0.113922,0.166694,0.132474,0.09
"200829A",1.25,1.1152775913959,-4.29242982390206,1.99431715266964,0.83,21.0896684800723,-10.8633,3.317225,1.301598,0.9,0.00704023476236274,0.03,0.026536,0.036463,0.022447,0.04
"201014A",4.56,1.55870857053317,-6.50863830616573,-0.522878745280338,2.55,22.1524656960528,-13.7541,5.031584,1.038298,0.9,0.289529654602168,0.37,0.092274,0.110179,0.170451,0.15
"201015A",0.426,0.990338854787601,-6.69897000433602,0.255272505103306,3.03,21.3553614717945,-12.8744,4.275441,0.481067,1.1,0.0965098848673893,0.68,0.09442,0.229803,0.027144,0.24
"201020A",2.903,1.15136985024746,-6.03621217265444,0.322219294733919,2.25,22.3938856786211,-12.091,3.793643,0.728842,1.1,0.0413613792288811,0.14,0.128558,0.192264,0.056032,0.11
"020124A",3.198,1.66190729276602,-5.431798275933,0.832508912706236,1.72,22.0524053421922,-12.7747,4.454184,1.961572,1.32,0.0449270153693019,0.04,0.05493,0.065307,0.072088,0.25
"021004A",2.34,2,-5.62342304294349,0.287801729930226,1.72,21.3905023625177,-12.92,5.4,1.33,0.67,0.162860430713719,0.24,0.02,0.02,0.03,0.14
"210210A",0.715,0.819543935541869,-6.0087739243075,0.845098040014257,1.53,21.1231954587923,-11.7476,3.875593,1.44657,0.81,0.0310210344216608,0.58,0.033076,0.03022,0.031618,0.07
"030226A",1.99,1.34419571587143,-4.86327943284359,1.66745295288995,0.75,21.3989672022874,-13.1407,4.965035,2.121816,0.57,0.00978985163043301,0.3,0.064136,0.032442,0.132162,0.12
"030329A",0.17,1.79865064544527,-5.19654288435159,0.556302500767287,1.18,21.5103519475309,-11.76,5.5,1.46,0.41,0.0334072678387117,0.4,0.09,0.05,0.03,0.17
"040924A",0.86,0.378397900948138,-7.05060999335509,0.740362689494244,1.51,21.0685795178507,-12.2,3.5,1.3,0.63,0.0310210344216608,0.08,0.04,0.04,0.02,0.48
"041006A",0.72,1.2405492482826,-5.22184874961636,1.66745295288995,1.09,22.0268926446161,-12.45,4.08,1.24,0.36,0.00978985163043301,0.14,0.03,0.03,0.01,0.27
"050319A",3.24,2.1833837420527,-5.88272870434424,0.181843587944773,2.02,22.3938856786211,-12.83,4.44,0.76,0.74,0.0600012113155808,0.19,0.02,0.03,0.03,0.42
"050401A",2.8992,1.5063697170955,-5.08512818245995,1.02938377768521,1.4,22.1257024230493,-13.6002,4.1414,0.87515,0.39,0.0373412077898123,0.07,0.12095,0.161195,0.047862,0.05
"050408A",1.24,1.53147891704226,-5.431798275933,1.01283722470517,1.34,21.7724273330753,-13.25,4.36,0.83,0.28,0.0111931567500838,0.31,0.03,0.05,0.05,0.27
"050416A",0.65,0.396199347095736,-6.43533393574791,0.688419822002711,3.08,21.7516285550118,-13.54,4.15,0.94,0.92,0.0427174900232707,0.22,0.05,0.06,0.08,0.3
"050502B",3.793,1.24303804868629,-6.69897000433602,-0.698970004336019,1.76,21.1693602061994,-12.4453,3.576116,1.358692,0.9,0.119080745037988,0.31,0.122846,0.139983,0.198462,0.06
"050502A",3.79,1.30102999566398,-4.94309514866353,1.66745295288995,1.53,21.7733380275047,-12.6,3.72,1.43,0.76,0.0216137253784409,0.04,0.04,0.03,0.02,0.16
"050525A",0.61,0.945960703577569,-4.8153085691824,1.62013605497376,1,21.2788015992694,-11.6972,3.22416,1.03423,0.52,0.00978985163043301,0.1,0.0658,0.10234,0.034343,0.08
"050603A",2.82,1.32221929473392,-5.19654288435159,1.33243845991561,1.16,21.630055462984,-11.88,4.45,1.85,0.95,0.0216137253784409,0.06,0.13,0.08,0.09,0.08
"050730A",3.97,2.19451434188247,-5.62342304294349,-0.259637310505756,1.53,21.7385030920054,-12.3658,4.344142,1.574343,0.52,0.110547686302646,0.11,0.044456,0.054968,0.069551,0.05
"050801A",1.56,1.28780172993023,-6.50863830616573,0.164352855784437,1.99,21.6926962555066,-10.98,2.64,1.19,0.69,0.0416446763468872,0.25,0.02,0.02,0.01,0.34
